year,contests,problems,avg_contest_points,avg_difficulty,avg_ai_tag_count,crawled_text_count,avg_clean_text_len
2021,10,68,373.52941176470586,850.0147058823529,3.7794117647058822,68,737.2647058823529
2022,19,152,400.0,1065.4802631578948,3.914473684210526,152,928.032894736842
2023,29,221,391.0633484162896,1049.8356807511736,4.149321266968326,221,953.9909502262444
2024,18,126,373.8095238095238,807.2777777777778,3.9047619047619047,126,900.0714285714286
2025,11,77,375.3246753246753,771.5714285714286,3.8181818181818183,77,981.6883116883116
